id,name,address,lat,lng,install_place,install_type,is_indoor,is_outdoor,is_movable,weekday_open,weekday_close,saturday_open,saturday_close,holiday_open,holiday_close,is_24h,simultaneous_count,air_pump_available,phone_charge_available,contact_phone,data_date,review_status,review_notes
CHG_GS_001,군산경로식당,전북특별자치도 군산시 중앙로 44-8,35.9791865,126.7211732,주차장,옥외,False,True,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-442-5323,2026-05-28,ok,
CHG_GS_002,은파호수공원,전북특별자치도 군산시 은파순환길 9,35.9553629,126.6890783,제1주차장 자전거 보관소 옆,옥외,False,True,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-454-4896,2026-05-28,ok,
CHG_GS_003,군산월명체육관,전북특별자치도 군산시 번영로 281,35.9627844,126.7460371,정문 옆 자전거보관소안,옥외,False,True,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-454-5572,2026-05-28,ok,
CHG_GS_004,군산시보건소,전북특별자치도 군산시 수송동로 58,35.9647288,126.7201756,보건소 1층,옥내,True,False,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-463-4000,2026-05-28,ok,
CHG_GS_005,군산의료원,전북특별자치도 군산시 의료원로 27,35.95493063,126.711918,군산의료원 현관 앞,옥내,True,False,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-472-5000,2026-05-28,ok,
CHG_GS_006,군산시청,전북특별자치도 군산시 시청로 17,35.9676359,126.7368362,민원실앞 자전거보관소,옥외,False,True,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-454-3176,2026-05-28,ok,
CHG_GS_007,나운동 주공4차아파트,전북특별자치도 군산시 문화로 36,35.9694682,126.7099547,나운종합사회복지관 현관,옥외,False,True,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-462-7260,2026-05-28,review,시설명 표준화: 주공4차아파트 → 나운동 주공4차아파트
CHG_GS_008,군산장애인종합복지관,전북특별자치도 군산시 칠성안3길 37,35.959779,126.677402,"정문 옆, 이동식 충전기","실내외, 이동가능",True,False,True,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-466-7981,2026-05-28,ok,
CHG_GS_009,삼학동주민센터,전북특별자치도 군산시 미원로 17,35.9769596,126.7076264,정문 옆,옥외,False,True,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-462-9306,2026-05-28,ok,
CHG_GS_010,군산금강노인복지관,전북특별자치도 군산시 백릉로 245,35.9804858,126.7504256,본관 입구 정문 앞,옥외,False,True,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-442-0012,2026-05-28,review,시설명 표준화: 금강노인복지관 → 군산금강노인복지관
CHG_GS_011,군산노인종합복지관,전북특별자치도 군산시 둔배미길 29,35.9829328,126.7158346,본관 주차장,옥외,False,True,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-442-4227,2026-05-28,ok,
CHG_GS_012,근대역사박물관,전북특별자치도 군산시 해망로 240,35.99081903,126.7119523,물품보관소 전광판 옆,,False,False,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-454-3172,2026-05-28,review,CSV에만 존재함: 군산시 PDF 최신 목록과 교차 확인 필요
CHG_GS_013,군산수송공원,전북특별자치도 군산시 수송동 851번지,35.96551795,126.7207259,남자화장실 옆,옥외,False,True,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-454-3172,2026-05-28,review,CSV 도로명주소 공란 → 군산시 PDF 주소로 보완
CHG_GS_014,대야노인복지관,전북특별자치도 군산시 대야면 우덕2길 7,35.94707177,126.8108294,식당 뒷문 옆,옥외,False,True,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-451-9500,2026-05-28,ok,
CHG_GS_015,군산해누리노인복지관,전북특별자치도 군산시 효자길 11,35.979289,126.7107139822,고령자복지주택 지하주차장 입구,,False,False,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-454-3172,2026-05-28,review,CSV에만 존재함: 군산시 PDF 최신 목록과 교차 확인 필요
CHG_GS_016,수송동 주민센터,전북특별자치도 군산시 동수송1길 7,35.96483636,126.717626,무인민원발급기 옆,옥외,False,True,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-454-7657,2026-05-28,ok,
CHG_GS_017,미성동 주민센터,전북특별자치도 군산시 공항로 371,35.95786821,126.6576242,군산종합안내도 옆,옥외,False,True,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-454-7827,2026-05-28,ok,
CHG_GS_018,나운2동 주민센터,전북특별자치도 군산시 나운3길 16,35.9648195,126.6996037,무인민원발급기 옆,옥외,False,True,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-454-7727,2026-05-28,ok,
CHG_GS_019,소룡동 동아아파트 앞 공원,전북특별자치도 군산시 소룡동 1544번지,35.9695767,126.6835488,화장실 앞,옥외,False,True,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-454-3172,2026-05-28,review,CSV 도로명주소 공란 → 군산시 PDF 주소로 보완
CHG_GS_020,디오션시티 철길공원,전북특별자치도 군산시 조촌동 3972번지,35.97777367,126.7432055,남자화장실 옆,옥외,False,True,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-454-3172,2026-05-28,review,CSV 도로명주소 공란 → 군산시 PDF 주소로 보완
