id,name,name_original_csv,name_original_pdf,sido,sigungu,sigungu_code,address_display,address_road_csv,address_lot_csv,address_pdf,lat,lng,install_place,install_place_csv,install_place_pdf,install_type,is_indoor,is_outdoor,is_movable,weekday_open,weekday_close,saturday_open,saturday_close,holiday_open,holiday_close,is_24h,simultaneous_count,air_pump_available,phone_charge_available,contact_phone,contact_phone_pdf,manager_name_csv,manager_phone_csv,data_date_csv,source_csv,source_pdf,source_url_pdf,license_note_pdf,coordinate_status,review_status,review_notes
CHG_GS_001,군산경로식당,군산경로식당,군산경로식당,전북특별자치도,군산시,45130,전북특별자치도 군산시 중앙로 44-8,전북특별자치도 군산시 중앙로 44-8,전북특별자치도 군산시 대명동 385-85,전북특별자치도 군산시 중앙로 44-8,35.9791865,126.7211732,주차장,군산경로식당 주차장앞,주차장,옥외,False,True,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-442-5323,063-442-5323,전북특별자치도 군산시청,063-454-3172,2026-05-28,True,True,https://www.gunsan.go.kr/main/m2522,군산시 PDF는 공공누리 제4유형(출처표시+상업적 이용금지+변경금지)로 표시됨,ok,ok,
CHG_GS_002,은파호수공원,은파호수공원,은파호수공원,전북특별자치도,군산시,45130,전북특별자치도 군산시 은파순환길 9,전북특별자치도 군산시 은파순환길 9,전북특별자치도 군산시 나운동 1223-5,전북특별자치도 군산시 은파순환길 9,35.9553629,126.6890783,제1주차장 자전거 보관소 옆,은파호수공원 제1주차장 자전거보관소옆,제1주차장 자전거 보관소 옆,옥외,False,True,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-454-4896,063-454-4896,전북특별자치도 군산시청,063-454-3172,2026-05-28,True,True,https://www.gunsan.go.kr/main/m2522,군산시 PDF는 공공누리 제4유형(출처표시+상업적 이용금지+변경금지)로 표시됨,ok,ok,
CHG_GS_003,군산월명체육관,군산월명체육관,군산월명체육관,전북특별자치도,군산시,45130,전북특별자치도 군산시 번영로 281,전북특별자치도 군산시 번영로 281,전북특별자치도 군산시 사정동 152,전북특별자치도 군산시 번영로 281,35.9627844,126.7460371,정문 옆 자전거보관소안,군산월명체육관 정문앞 왼쪽,정문 옆 자전거보관소안,옥외,False,True,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-454-5572,063-454-5572,전북특별자치도 군산시청,063-454-3172,2026-05-28,True,True,https://www.gunsan.go.kr/main/m2522,군산시 PDF는 공공누리 제4유형(출처표시+상업적 이용금지+변경금지)로 표시됨,ok,ok,
CHG_GS_004,군산시보건소,군산시보건소,군산시보건소,전북특별자치도,군산시,45130,전북특별자치도 군산시 수송동로 58,전북특별자치도 군산시 수송동로 58,전북특별자치도 군산시 수송동 851-1,전북특별자치도 군산시 수송동로 58,35.9647288,126.7201756,보건소 1층,보건소 현관안쪽 2층올라가는 계단 밑,보건소 1층,옥내,True,False,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-463-4000,063-463-4000,전북특별자치도 군산시청,063-454-3172,2026-05-28,True,True,https://www.gunsan.go.kr/main/m2522,군산시 PDF는 공공누리 제4유형(출처표시+상업적 이용금지+변경금지)로 표시됨,ok,ok,
CHG_GS_005,군산의료원,군산의료원,군산의료원,전북특별자치도,군산시,45130,전북특별자치도 군산시 의료원로 27,전북특별자치도 군산시 의료원로 27,전북특별자치도 군산시 지곡동 29-1,전북특별자치도 군산시 의료원로 27,35.95493063,126.711918,군산의료원 현관 앞,군산의료원 현관 접수처 앞,군산의료원 현관 앞,옥내,True,False,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-472-5000,063-472-5000,전북특별자치도 군산시청,063-454-3172,2026-05-28,True,True,https://www.gunsan.go.kr/main/m2522,군산시 PDF는 공공누리 제4유형(출처표시+상업적 이용금지+변경금지)로 표시됨,ok,ok,
CHG_GS_006,군산시청,군산시청,군산시청,전북특별자치도,군산시,45130,전북특별자치도 군산시 시청로 17,전북특별자치도 군산시 시청로 17,전북특별자치도 군산시 조촌동 888,전북특별자치도 군산시 시청로 17,35.9676359,126.7368362,민원실앞 자전거보관소,군산시청 민원실앞 자전거보관소,민원실앞 자전거보관소,옥외,False,True,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-454-3176,063-454-3176,전북특별자치도 군산시청,063-454-3172,2026-05-28,True,True,https://www.gunsan.go.kr/main/m2522,군산시 PDF는 공공누리 제4유형(출처표시+상업적 이용금지+변경금지)로 표시됨,ok,ok,
CHG_GS_007,나운동 주공4차아파트,주공4차아파트,나운동 주공4차아파트,전북특별자치도,군산시,45130,전북특별자치도 군산시 문화로 36,전북특별자치도 군산시 문화로 36,전북특별자치도 군산시 나운동 45,전북특별자치도 군산시 문화로 36,35.9694682,126.7099547,나운종합사회복지관 현관,군산시 주공4차 아파트,나운종합사회복지관 현관,옥외,False,True,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-462-7260,063-462-7260,전북특별자치도 군산시청,063-454-3172,2026-05-28,True,True,https://www.gunsan.go.kr/main/m2522,군산시 PDF는 공공누리 제4유형(출처표시+상업적 이용금지+변경금지)로 표시됨,ok,review,시설명 표준화: 주공4차아파트 → 나운동 주공4차아파트
CHG_GS_008,군산장애인종합복지관,군산장애인종합복지관,군산장애인종합복지관,전북특별자치도,군산시,45130,전북특별자치도 군산시 칠성안3길 37,전북특별자치도 군산시 칠성안3길 37,전북특별자치도 군산시 산북동 3612-4,전북특별자치도 군산시 칠성안3길 37,35.959779,126.677402,"정문 옆, 이동식 충전기","정문 옆, 이동식충전기","정문 옆, 이동식 충전기","실내외, 이동가능",True,False,True,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-466-7981,063-466-7981,전북특별자치도 군산시청,063-454-3172,2026-05-28,True,True,https://www.gunsan.go.kr/main/m2522,군산시 PDF는 공공누리 제4유형(출처표시+상업적 이용금지+변경금지)로 표시됨,ok,ok,
CHG_GS_009,삼학동주민센터,삼학동주민센터,삼학동주민센터,전북특별자치도,군산시,45130,전북특별자치도 군산시 미원로 17,전북특별자치도 군산시 미원로 17,전북특별자치도 군산시 오룡동 827-1,전북특별자치도 군산시 미원로 17,35.9769596,126.7076264,정문 옆,삼학동주민센터 장애인주차장,정문 옆,옥외,False,True,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-462-9306,063-462-9306,전북특별자치도 군산시청,063-454-3172,2026-05-28,True,True,https://www.gunsan.go.kr/main/m2522,군산시 PDF는 공공누리 제4유형(출처표시+상업적 이용금지+변경금지)로 표시됨,ok,ok,
CHG_GS_010,군산금강노인복지관,금강노인복지관,군산금강노인복지관,전북특별자치도,군산시,45130,전북특별자치도 군산시 백릉로 245,전북특별자치도 군산시 백릉로 245,전북특별자치도 군산시 구암동 307-4,전북특별자치도 군산시 백릉로 245,35.9804858,126.7504256,본관 입구 정문 앞,복지관 정문,본관 입구 정문 앞,옥외,False,True,False,00:00,23:59,00:00,23:59,00:00,23:59,True,1,True,False,063-442-0012,063-442-0012,전북특별자치도 군산시청,063-454-3172,2026-05-28,True,True,https://www.gunsan.go.kr/main/m2522,군산시 PDF는 공공누리 제4유형(출처표시+상업적 이용금지+변경금지)로 표시됨,ok,review,시설명 표준화: 금강노인복지관 → 군산금강노인복지관
